# start_epoch_ms=1772061048172 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772061048172,oai-nr-du,209.06,0.81,992.8MiB / 119.7GiB,18.5GB / 18.5GB,0B / 13.9MB,22
1772061050189,oai-nr-du,211.81,0.81,992.8MiB / 119.7GiB,21.3GB / 21.3GB,0B / 13.9MB,22
1772061053198,oai-nr-du,209.3,0.81,993.4MiB / 119.7GiB,24.1GB / 24.1GB,0B / 13.9MB,22
1772061056206,oai-nr-du,209.66,0.81,992.8MiB / 119.7GiB,26.9GB / 26.8GB,0B / 13.9MB,22
1772061059214,oai-nr-du,211.89,0.81,993.1MiB / 119.7GiB,29.7GB / 29.6GB,0B / 13.9MB,22
1772061062222,oai-nr-du,208.83,0.81,992.5MiB / 119.7GiB,32.4GB / 32.4GB,0B / 13.9MB,22
1772061065229,oai-nr-du,212.25,0.81,993.4MiB / 119.7GiB,35.2GB / 35.2GB,0B / 13.9MB,22
1772061068235,oai-nr-du,208.1,0.81,992.5MiB / 119.7GiB,38GB / 38GB,0B / 14MB,22
1772061071244,oai-nr-du,213.23,0.81,992.3MiB / 119.7GiB,40.7GB / 40.7GB,0B / 14MB,22
1772061074252,oai-nr-du,212.05,0.81,993.4MiB / 119.7GiB,43.5GB / 43.5GB,0B / 14MB,22
1772061077260,oai-nr-du,207.0,0.81,992.3MiB / 119.7GiB,46.3GB / 46.3GB,0B / 14MB,22
1772061080267,oai-nr-du,211.0,0.81,992.7MiB / 119.7GiB,49.1GB / 49.1GB,0B / 14MB,22
1772061083275,oai-nr-du,208.27,0.81,992.5MiB / 119.7GiB,51.9GB / 51.8GB,0B / 14MB,22
1772061086283,oai-nr-du,209.51,0.81,992.9MiB / 119.7GiB,54.6GB / 54.6GB,0B / 14MB,22
1772061089292,oai-nr-du,209.15,0.81,993.5MiB / 119.7GiB,57.3GB / 57.3GB,0B / 14MB,22
1772061092301,oai-nr-du,206.61,0.81,992.4MiB / 119.7GiB,60.1GB / 60.1GB,0B / 14MB,22
1772061095307,oai-nr-du,210.42,0.81,992.6MiB / 119.7GiB,62.8GB / 62.8GB,0B / 14MB,22
1772061098314,oai-nr-du,213.62,0.81,992.9MiB / 119.7GiB,65.6GB / 65.6GB,0B / 14MB,22
1772061101322,oai-nr-du,210.71,0.81,992.7MiB / 119.7GiB,68.4GB / 68.4GB,0B / 14MB,22
1772061104328,oai-nr-du,209.7,0.81,992.5MiB / 119.7GiB,71.1GB / 71.1GB,0B / 14MB,22
