# start_epoch_ms=1772061048171 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772061048171,oai-nr-cu,2.07,0.13,153.8MiB / 119.7GiB,2.57MB / 25.3kB,0B / 14.1MB,16
1772061051192,oai-nr-cu,1.4,0.13,153.8MiB / 119.7GiB,2.57MB / 25.3kB,0B / 14.1MB,16
1772061054201,oai-nr-cu,1.69,0.13,153.8MiB / 119.7GiB,2.57MB / 25.3kB,0B / 14.1MB,16
1772061057209,oai-nr-cu,1.41,0.13,154MiB / 119.7GiB,2.57MB / 25.4kB,0B / 14.1MB,16
1772061060218,oai-nr-cu,1.69,0.13,153.8MiB / 119.7GiB,2.57MB / 25.8kB,0B / 14.1MB,16
1772061063225,oai-nr-cu,1.96,0.13,153.8MiB / 119.7GiB,2.57MB / 25.8kB,0B / 14.2MB,16
1772061066231,oai-nr-cu,1.56,0.13,153.8MiB / 119.7GiB,2.57MB / 25.8kB,0B / 14.2MB,16
1772061069239,oai-nr-cu,1.7,0.13,153.8MiB / 119.7GiB,2.57MB / 25.8kB,0B / 14.2MB,16
1772061072248,oai-nr-cu,1.55,0.13,153.8MiB / 119.7GiB,2.57MB / 26kB,0B / 14.2MB,16
1772061075255,oai-nr-cu,2.5,0.13,153.8MiB / 119.7GiB,2.57MB / 26.1kB,0B / 14.2MB,16
1772061078264,oai-nr-cu,1.48,0.13,153.8MiB / 119.7GiB,2.57MB / 26.1kB,0B / 14.2MB,16
1772061081270,oai-nr-cu,1.37,0.13,153.8MiB / 119.7GiB,2.57MB / 26.1kB,0B / 14.2MB,16
1772061084280,oai-nr-cu,1.77,0.13,153.8MiB / 119.7GiB,2.57MB / 26.1kB,0B / 14.2MB,16
1772061087285,oai-nr-cu,2.19,0.13,153.8MiB / 119.7GiB,2.57MB / 26.1kB,0B / 14.3MB,16
1772061090294,oai-nr-cu,1.34,0.13,153.8MiB / 119.7GiB,2.57MB / 26.6kB,0B / 14.3MB,16
1772061093302,oai-nr-cu,1.65,0.13,153.8MiB / 119.7GiB,2.57MB / 26.6kB,0B / 14.3MB,16
1772061096311,oai-nr-cu,1.86,0.13,153.8MiB / 119.7GiB,2.57MB / 26.8kB,0B / 14.3MB,16
1772061099317,oai-nr-cu,1.51,0.13,153.8MiB / 119.7GiB,2.57MB / 26.8kB,0B / 14.3MB,16
1772061102324,oai-nr-cu,1.63,0.13,153.8MiB / 119.7GiB,2.57MB / 27kB,0B / 14.3MB,16
1772061105331,oai-nr-cu,2.27,0.13,153.8MiB / 119.7GiB,2.57MB / 27kB,0B / 14.3MB,16
