# start_epoch_ms=1772061048171 interval_s=0.5 source=/proc/stat
ts_epoch_ms,cpu_total_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,load1,load5,load15,procs_running,procs_total
1772061048171,nan,nan,nan,nan,nan,1.54,1.26,0.81,7,2101
1772061048671,16.363636,8.989899,7.373737,0.000000,83.636364,1.54,1.26,0.81,2,2148
1772061049171,15.524194,8.870968,6.653226,0.201613,84.274194,1.54,1.26,0.81,3,2146
1772061049672,16.197183,9.255533,6.941650,0.100604,83.702213,1.54,1.26,0.81,2,2115
1772061050172,14.923858,8.324873,6.598985,0.203046,84.873096,1.54,1.26,0.81,5,2104
1772061050673,14.954222,7.934893,7.019329,0.000000,85.045778,1.54,1.26,0.81,5,2114
1772061051173,14.754098,7.889344,6.864754,0.204918,85.040984,1.54,1.26,0.81,6,2105
1772061051673,16.649642,9.601634,7.048008,0.102145,83.248212,1.89,1.34,0.84,3,2120
1772061052174,14.402451,8.171604,6.230848,0.204290,85.393258,1.89,1.34,0.84,7,2118
1772061052674,14.897959,8.571429,6.326531,0.000000,85.102041,1.89,1.34,0.84,3,2118
1772061053175,14.923858,8.426396,6.497462,0.203046,84.873096,1.89,1.34,0.84,5,2109
1772061053675,14.489796,8.367347,6.122449,0.306122,85.204082,1.89,1.34,0.84,5,2119
1772061054175,14.994934,8.308004,6.686930,0.000000,85.005066,1.89,1.34,0.84,2,2109
1772061054676,14.852492,8.545270,6.307223,0.203459,84.944049,1.89,1.34,0.84,8,2120
1772061055176,16.450648,9.571286,6.879362,0.000000,83.549352,1.89,1.34,0.84,3,2120
1772061055677,16.082474,8.041237,8.041237,0.206186,83.711340,1.89,1.34,0.84,3,2120
1772061056177,14.022518,7.778915,6.243603,0.000000,85.977482,1.89,1.34,0.84,4,2110
1772061056677,15.015322,8.069459,6.945863,0.204290,84.780388,1.82,1.34,0.84,6,2120
1772061057178,15.392457,8.154944,7.237513,0.000000,84.607543,1.82,1.34,0.84,6,2109
1772061057678,15.911380,8.962739,6.948640,0.100705,83.987915,1.82,1.34,0.84,3,2119
1772061058179,16.064257,9.036145,7.028112,0.000000,83.935743,1.82,1.34,0.84,4,2119
1772061058679,15.314402,8.620690,6.693712,0.202840,84.482759,1.82,1.34,0.84,4,2119
1772061059180,16.016016,9.009009,7.007007,0.000000,83.983984,1.82,1.34,0.84,3,2109
1772061059680,14.979757,8.400810,6.578947,0.202429,84.817814,1.82,1.34,0.84,3,2120
1772061060180,15.050505,8.787879,6.262626,0.000000,84.949495,1.82,1.34,0.84,2,2109
1772061060681,14.693878,7.653061,7.040816,0.204082,85.102041,1.82,1.34,0.84,3,2120
1772061061181,15.267947,8.594540,6.673407,0.000000,84.732053,1.82,1.34,0.84,4,2120
1772061061682,15.757576,8.585859,7.171717,0.202020,84.040404,2.0,1.38,0.85,2,2120
1772061062182,17.554241,10.552268,7.001972,0.000000,82.445759,2.0,1.38,0.85,4,2111
1772061062683,15.204082,8.265306,6.938776,0.102041,84.693878,2.0,1.38,0.85,5,2121
1772061063183,14.446721,7.991803,6.454918,0.102459,85.450820,2.0,1.38,0.85,5,2108
1772061063684,16.330645,9.072581,7.258065,0.000000,83.669355,2.0,1.38,0.85,3,2117
1772061064184,18.073486,10.824230,7.249255,0.099305,81.827210,2.0,1.38,0.85,5,2118
1772061064684,15.660184,8.495394,7.164790,0.000000,84.339816,2.0,1.38,0.85,4,2118
1772061065185,14.139344,7.274590,6.864754,0.204918,85.655738,2.0,1.38,0.85,5,2108
1772061065685,16.921509,8.868502,8.053007,0.000000,83.078491,2.0,1.38,0.85,5,2119
1772061066186,15.369060,8.695652,6.673407,0.202224,84.428716,2.0,1.38,0.85,6,2110
1772061066686,15.634518,8.426396,7.208122,0.000000,84.365482,2.32,1.46,0.88,5,2120
1772061067187,16.262626,9.494949,6.767677,0.101010,83.636364,2.32,1.46,0.88,4,2120
1772061067687,14.052953,7.739308,6.313646,0.000000,85.947047,2.32,1.46,0.88,5,2121
1772061068188,14.344262,7.274590,7.069672,0.204918,85.450820,2.32,1.46,0.88,2,2111
1772061068688,17.885375,10.573123,7.312253,0.000000,82.114625,2.32,1.46,0.88,3,2123
1772061069188,16.100000,8.700000,7.400000,0.200000,83.700000,2.32,1.46,0.88,3,2113
1772061069689,14.735772,7.520325,7.215447,0.000000,85.264228,2.32,1.46,0.88,6,2123
1772061070189,15.080972,8.299595,6.781377,0.202429,84.716599,2.32,1.46,0.88,5,2123
1772061070690,15.415822,8.215010,7.200811,0.000000,84.584178,2.32,1.46,0.88,4,2124
1772061071190,14.445575,7.629705,6.815870,0.203459,85.350966,2.32,1.46,0.88,5,2113
1772061071690,14.852492,7.731434,7.121058,0.000000,85.147508,2.61,1.53,0.91,6,2124
1772061072191,15.618661,8.519270,7.099391,0.101420,84.279919,2.61,1.53,0.91,3,2116
1772061072692,15.188583,8.154944,7.033639,0.203874,84.607543,2.61,1.53,0.91,4,2125
1772061073192,15.345528,8.434959,6.910569,0.000000,84.654472,2.61,1.53,0.91,3,2127
1772061073693,15.166835,8.291203,6.875632,0.202224,84.630940,2.61,1.53,0.91,4,2127
1772061074193,16.028226,9.173387,6.854839,0.000000,83.971774,2.61,1.53,0.91,3,2115
1772061074694,15.228426,8.832487,6.395939,0.203046,84.568528,2.61,1.53,0.91,4,2126
1772061075194,15.111562,8.620690,6.490872,0.000000,84.888438,2.61,1.53,0.91,5,2118
1772061075694,17.969543,10.050761,7.918782,0.203046,81.827411,2.61,1.53,0.91,3,2132
1772061076195,15.061475,8.094262,6.967213,0.000000,84.938525,2.61,1.53,0.91,4,2129
1772061076695,16.080402,9.045226,7.035176,0.201005,83.718593,2.88,1.61,0.94,3,2129
1772061077196,15.157681,8.850458,6.307223,0.000000,84.842319,2.88,1.61,0.94,3,2118
1772061077696,14.897959,8.061224,6.836735,0.102041,85.000000,2.88,1.61,0.94,3,2129
1772061078196,15.789474,9.008097,6.781377,0.000000,84.210526,2.88,1.61,0.94,2,2122
1772061078697,18.395303,11.056751,7.338552,0.195695,81.409002,2.88,1.61,0.94,4,2133
1772061079197,16.749751,9.371884,7.377866,0.000000,83.250249,2.88,1.61,0.94,4,2133
1772061079698,16.533865,9.262948,7.270916,0.199203,83.266932,2.88,1.61,0.94,4,2132
1772061080198,15.757576,8.888889,6.868687,0.000000,84.242424,2.88,1.61,0.94,4,2121
1772061080699,15.571284,7.987867,7.583418,0.202224,84.226491,2.88,1.61,0.94,4,2131
1772061081199,16.216216,8.708709,7.507508,0.000000,83.783784,2.88,1.61,0.94,4,2120
1772061081699,15.384615,8.502024,6.882591,0.101215,84.514170,2.89,1.63,0.95,3,2126
1772061082200,15.010142,8.113590,6.896552,0.000000,84.989858,2.89,1.63,0.95,3,2126
1772061082701,15.025381,7.715736,7.309645,0.101523,84.873096,2.89,1.63,0.95,4,2126
1772061083201,15.688259,8.502024,7.186235,0.101215,84.210526,2.89,1.63,0.95,4,2115
1772061083701,15.995976,8.853119,7.142857,0.000000,84.004024,2.89,1.63,0.95,3,2126
1772061084202,15.837563,8.223350,7.614213,0.101523,84.060914,2.89,1.63,0.95,7,2118
1772061084702,15.524194,8.568548,6.955645,0.000000,84.475806,2.89,1.63,0.95,6,2126
1772061085203,15.555556,8.686869,6.868687,0.202020,84.242424,2.89,1.63,0.95,3,2124
1772061085703,16.293279,8.655804,7.637475,0.000000,83.706721,2.89,1.63,0.95,4,2131
1772061086203,14.300412,7.510288,6.790123,0.102881,85.596708,2.89,1.63,0.95,2,2115
1772061086704,14.300306,7.558733,6.741573,0.000000,85.699694,2.82,1.64,0.95,4,2125
1772061087204,15.071283,7.739308,7.331976,0.203666,84.725051,2.82,1.64,0.95,2,2116
1772061087705,14.663951,7.637475,7.026477,0.000000,85.336049,2.82,1.64,0.95,2,2127
1772061088206,13.934426,7.786885,6.147541,0.204918,85.860656,2.82,1.64,0.95,4,2127
1772061088706,14.022518,7.164790,6.857728,0.000000,85.977482,2.82,1.64,0.95,4,2127
1772061089207,14.807302,7.809331,6.997972,0.101420,85.091278,2.82,1.64,0.95,4,2117
1772061089707,14.939024,7.520325,7.418699,0.000000,85.060976,2.82,1.64,0.95,5,2125
1772061090208,14.271152,7.645260,6.625892,0.203874,85.524975,2.82,1.64,0.95,5,2115
1772061090708,13.905930,7.464213,6.441718,0.000000,86.094070,2.82,1.64,0.95,5,2126
1772061091209,14.111675,8.426396,5.685279,0.203046,85.685279,2.82,1.64,0.95,3,2126
1772061091709,13.846154,7.487179,6.358974,0.000000,86.153846,2.84,1.66,0.97,2,2126
1772061092209,14.604462,8.215010,6.389452,0.202840,85.192698,2.84,1.66,0.97,5,2118
1772061092710,13.877551,7.653061,6.224490,0.102041,86.020408,2.84,1.66,0.97,2,2128
