# start_epoch_ms=1771460383329 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771460383329,oai-nr-du,207.05,0.89,1.062GiB / 119.7GiB,54GB / 54GB,0B / 86kB,24
1771460386210,oai-nr-du,209.07,0.89,1.062GiB / 119.7GiB,56.8GB / 56.7GB,0B / 86kB,24
1771460389247,oai-nr-du,210.9,0.89,1.062GiB / 119.7GiB,59.5GB / 59.5GB,0B / 86kB,24
1771460392282,oai-nr-du,211.03,0.89,1.062GiB / 119.7GiB,61.4GB / 61.4GB,0B / 86kB,24
1771460394308,oai-nr-du,206.83,0.89,1.062GiB / 119.7GiB,64.1GB / 64.1GB,0B / 86kB,24
1771460397348,oai-nr-du,213.42,0.89,1.062GiB / 119.7GiB,66.9GB / 66.9GB,0B / 94.2kB,24
1771460400385,oai-nr-du,207.61,0.89,1.063GiB / 119.7GiB,69.6GB / 69.6GB,0B / 94.2kB,24
1771460403432,oai-nr-du,209.44,0.89,1.062GiB / 119.7GiB,72.4GB / 72.4GB,0B / 94.2kB,24
1771460406470,oai-nr-du,207.24,0.89,1.062GiB / 119.7GiB,75.1GB / 75.1GB,0B / 94.2kB,24
1771460409506,oai-nr-du,208.79,0.89,1.062GiB / 119.7GiB,77.9GB / 77.9GB,0B / 94.2kB,24
1771460412541,oai-nr-du,207.53,0.89,1.062GiB / 119.7GiB,79.7GB / 79.7GB,0B / 94.2kB,24
1771460414568,oai-nr-du,208.64,0.89,1.062GiB / 119.7GiB,82.5GB / 82.5GB,0B / 94.2kB,24
1771460417609,oai-nr-du,207.62,0.89,1.062GiB / 119.7GiB,84.3GB / 84.3GB,0B / 94.2kB,24
1771460419640,oai-nr-du,208.95,0.89,1.062GiB / 119.7GiB,87.1GB / 87.1GB,0B / 94.2kB,24
1771460422677,oai-nr-du,210.06,0.89,1.062GiB / 119.7GiB,88.9GB / 88.9GB,0B / 94.2kB,24
1771460424699,oai-nr-du,210.09,0.89,1.062GiB / 119.7GiB,90.8GB / 90.8GB,0B / 94.2kB,24
1771460426729,oai-nr-du,207.33,0.89,1.062GiB / 119.7GiB,92.6GB / 92.6GB,0B / 94.2kB,24
1771460428754,oai-nr-du,208.31,0.89,1.062GiB / 119.7GiB,95.3GB / 95.3GB,0B / 102kB,24
1771460431788,oai-nr-du,207.3,0.89,1.062GiB / 119.7GiB,98.1GB / 98.1GB,0B / 102kB,24
1771460434833,oai-nr-du,210.89,0.89,1.062GiB / 119.7GiB,99.9GB / 99.9GB,0B / 102kB,24
1771460436863,oai-nr-du,209.66,0.89,1.063GiB / 119.7GiB,103GB / 103GB,0B / 102kB,24
1771460439900,oai-nr-du,207.98,0.89,1.063GiB / 119.7GiB,105GB / 105GB,0B / 102kB,24
