# start_epoch_ms=1771460383329 interval_s=0.5
ts_epoch_ms,gpu_index,util_gpu_pct,util_mem_pct
1771460383329,0,0,0
1771460383858,0,1,0
1771460384384,0,1,0
1771460384920,0,1,0
1771460385450,0,1,0
1771460385975,0,2,0
1771460386496,0,2,0
1771460387021,0,1,0
1771460387543,0,1,0
1771460388066,0,2,0
1771460388588,0,2,0
1771460389111,0,2,0
1771460389640,0,2,0
1771460390164,0,1,0
1771460390688,0,1,0
1771460391210,0,2,0
1771460391731,0,2,0
1771460392254,0,2,0
1771460392780,0,2,0
1771460393305,0,0,0
1771460393829,0,0,0
1771460394352,0,1,0
1771460394878,0,1,0
1771460395405,0,1,0
1771460395926,0,1,0
1771460396451,0,1,0
1771460396976,0,0,0
1771460397503,0,0,0
1771460398024,0,1,0
1771460398549,0,1,0
1771460399070,0,2,0
1771460399596,0,2,0
1771460400120,0,1,0
1771460400648,0,1,0
1771460401171,0,1,0
1771460401696,0,1,0
1771460402225,0,1,0
1771460402747,0,1,0
1771460403274,0,1,0
1771460403799,0,1,0
1771460404321,0,1,0
1771460404843,0,1,0
1771460405373,0,1,0
1771460405897,0,1,0
1771460406421,0,1,0
1771460406943,0,1,0
1771460407465,0,1,0
1771460407990,0,1,0
1771460408514,0,1,0
1771460409035,0,1,0
1771460409556,0,1,0
1771460410107,0,2,0
1771460410629,0,2,0
1771460411152,0,0,0
1771460411675,0,0,0
1771460412202,0,1,0
1771460412729,0,1,0
1771460413253,0,2,0
1771460413776,0,2,0
1771460414300,0,2,0
1771460414825,0,2,0
1771460415347,0,2,0
1771460415878,0,3,0
1771460416407,0,3,0
1771460416931,0,2,0
1771460417454,0,2,0
1771460417977,0,0,0
1771460418499,0,0,0
1771460419022,0,1,0
1771460419543,0,1,0
1771460420068,0,5,0
1771460420589,0,5,0
1771460421114,0,0,0
1771460421637,0,0,0
1771460422168,0,2,0
1771460422694,0,2,0
1771460423225,0,4,0
1771460423750,0,4,0
1771460424274,0,1,0
1771460424797,0,1,0
1771460425324,0,2,0
1771460425844,0,2,0
1771460426366,0,2,0
1771460426891,0,0,0
1771460427428,0,0,0
1771460427957,0,1,0
1771460428479,0,1,0
1771460429001,0,1,0
1771460429523,0,1,0
1771460430047,0,1,0
1771460430570,0,1,0
1771460431094,0,1,0
1771460431617,0,1,0
1771460432140,0,2,0
1771460432672,0,2,0
1771460433195,0,1,0
1771460433718,0,1,0
1771460434238,0,2,0
1771460434760,0,2,0
1771460435281,0,1,0
1771460435804,0,1,0
1771460436327,0,1,0
1771460436849,0,2,0
1771460437377,0,2,0
1771460437900,0,1,0
1771460438422,0,1,0
1771460438944,0,2,0
1771460439467,0,2,0
1771460439989,0,0,0
1771460440516,0,0,0
1771460441039,0,0,0
1771460441563,0,0,0
1771460442089,0,2,0
1771460442616,0,2,0
1771460443149,0,1,0
