# start_epoch_ms=1771539812470 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771539812470,oai-nr-cu,2.63,0.13,153.8MiB / 119.7GiB,2.59MB / 34kB,0B / 15.5MB,16
1771539815144,oai-nr-cu,1.64,0.13,153.8MiB / 119.7GiB,2.59MB / 34.2kB,0B / 15.5MB,16
1771539818152,oai-nr-cu,1.3,0.13,153.8MiB / 119.7GiB,2.59MB / 34.2kB,0B / 15.5MB,16
1771539821160,oai-nr-cu,1.69,0.13,153.8MiB / 119.7GiB,2.59MB / 34.3kB,0B / 15.5MB,16
1771539824167,oai-nr-cu,1.87,0.13,153.8MiB / 119.7GiB,2.59MB / 34.3kB,0B / 15.5MB,16
1771539827176,oai-nr-cu,1.51,0.13,153.8MiB / 119.7GiB,2.59MB / 34.3kB,0B / 15.5MB,16
1771539830186,oai-nr-cu,1.56,0.13,153.8MiB / 119.7GiB,2.59MB / 34.6kB,0B / 15.5MB,16
1771539833195,oai-nr-cu,1.7,0.13,153.8MiB / 119.7GiB,2.59MB / 34.7kB,0B / 15.6MB,16
1771539836204,oai-nr-cu,1.6,0.13,153.8MiB / 119.7GiB,2.59MB / 34.7kB,0B / 15.6MB,16
1771539839212,oai-nr-cu,1.67,0.13,153.8MiB / 119.7GiB,2.59MB / 34.7kB,0B / 15.6MB,16
1771539842235,oai-nr-cu,2.6,0.13,153.9MiB / 119.7GiB,2.59MB / 34.7kB,0B / 15.6MB,16
1771539845241,oai-nr-cu,1.87,0.13,153.8MiB / 119.7GiB,2.59MB / 34.8kB,0B / 15.6MB,16
1771539848251,oai-nr-cu,1.49,0.13,153.8MiB / 119.7GiB,2.59MB / 34.9kB,0B / 15.6MB,16
1771539851258,oai-nr-cu,1.47,0.13,153.8MiB / 119.7GiB,2.59MB / 35kB,0B / 15.6MB,16
1771539854267,oai-nr-cu,1.95,0.13,153.8MiB / 119.7GiB,2.59MB / 35kB,0B / 15.6MB,16
1771539857276,oai-nr-cu,1.54,0.13,153.8MiB / 119.7GiB,2.59MB / 35kB,0B / 15.7MB,16
1771539860283,oai-nr-cu,1.54,0.13,153.8MiB / 119.7GiB,2.59MB / 35.2kB,0B / 15.7MB,16
1771539863290,oai-nr-cu,1.4,0.13,153.8MiB / 119.7GiB,2.59MB / 35.4kB,0B / 15.7MB,16
1771539866299,oai-nr-cu,1.59,0.13,153.8MiB / 119.7GiB,2.59MB / 35.4kB,0B / 15.7MB,16
1771539869308,oai-nr-cu,1.45,0.13,153.8MiB / 119.7GiB,2.59MB / 35.4kB,0B / 15.7MB,16
