# start_epoch_ms=1771539812471 container=oai-nr-du since=0s
ts_epoch_ms	container	log_line
1771539812494	oai-nr-du	10427.109877 [NR_MAC] I Frame.Slot 256.0
1771539812494	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539812494	oai-nr-du	UE 49a6: dlsch_rounds 1337/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539812494	oai-nr-du	UE 49a6: ulsch_rounds 13214/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539812494	oai-nr-du	UE 49a6: MAC:    TX          28463 RX         264608 bytes
1771539812494	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539812494	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539812494	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539812494	oai-nr-du	
1771539812515	oai-nr-du	10427.458927 [NR_MAC] I Frame.Slot 384.0
1771539812515	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539812515	oai-nr-du	UE 49a6: dlsch_rounds 1338/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539812515	oai-nr-du	UE 49a6: ulsch_rounds 13227/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539812515	oai-nr-du	UE 49a6: MAC:    TX          28484 RX         264868 bytes
1771539812515	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539812515	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539812515	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539812515	oai-nr-du	
1771539812863	oai-nr-du	10427.806792 [NR_MAC] I Frame.Slot 512.0
1771539812863	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539812863	oai-nr-du	UE 49a6: dlsch_rounds 1340/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539812863	oai-nr-du	UE 49a6: ulsch_rounds 13240/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539812863	oai-nr-du	UE 49a6: MAC:    TX          28526 RX         265128 bytes
1771539812863	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539812863	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539812863	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539812863	oai-nr-du	
1771539812986	oai-nr-du	10427.930801 [NR_PHY] I CPU LDPC decoder:    77.09 us (   77.09 us / seg)
1771539813206	oai-nr-du	10428.150261 [NR_MAC] I Frame.Slot 640.0
1771539813206	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539813206	oai-nr-du	UE 49a6: dlsch_rounds 1341/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539813206	oai-nr-du	UE 49a6: ulsch_rounds 13253/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539813206	oai-nr-du	UE 49a6: MAC:    TX          28547 RX         265388 bytes
1771539813206	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539813206	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539813206	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539813206	oai-nr-du	
1771539813547	oai-nr-du	10428.491270 [NR_MAC] I Frame.Slot 768.0
1771539813547	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539813547	oai-nr-du	UE 49a6: dlsch_rounds 1342/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539813547	oai-nr-du	UE 49a6: ulsch_rounds 13265/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539813547	oai-nr-du	UE 49a6: MAC:    TX          28568 RX         265628 bytes
1771539813547	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539813547	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539813547	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539813547	oai-nr-du	
1771539813904	oai-nr-du	10428.848242 [NR_MAC] I Frame.Slot 896.0
1771539813904	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539813904	oai-nr-du	UE 49a6: dlsch_rounds 1344/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539813904	oai-nr-du	UE 49a6: ulsch_rounds 13278/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539813904	oai-nr-du	UE 49a6: MAC:    TX          28610 RX         265888 bytes
1771539813904	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539813904	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539813904	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539813904	oai-nr-du	
1771539813991	oai-nr-du	10428.935166 [NR_PHY] I CPU LDPC decoder:    97.65 us (   97.65 us / seg)
1771539814246	oai-nr-du	10429.189943 [NR_MAC] I Frame.Slot 0.0
1771539814246	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539814246	oai-nr-du	UE 49a6: dlsch_rounds 1345/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539814246	oai-nr-du	UE 49a6: ulsch_rounds 13291/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539814246	oai-nr-du	UE 49a6: MAC:    TX          28631 RX         266148 bytes
1771539814246	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539814246	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539814246	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539814246	oai-nr-du	
1771539814597	oai-nr-du	10429.540881 [NR_MAC] I Frame.Slot 128.0
1771539814597	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539814597	oai-nr-du	UE 49a6: dlsch_rounds 1346/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539814597	oai-nr-du	UE 49a6: ulsch_rounds 13304/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539814597	oai-nr-du	UE 49a6: MAC:    TX          28652 RX         266408 bytes
1771539814597	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539814597	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539814597	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539814597	oai-nr-du	
1771539814940	oai-nr-du	10429.883642 [NR_MAC] I Frame.Slot 256.0
1771539814940	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539814940	oai-nr-du	UE 49a6: dlsch_rounds 1347/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
1771539814940	oai-nr-du	UE 49a6: ulsch_rounds 13317/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 0 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 2
1771539814940	oai-nr-du	UE 49a6: MAC:    TX          28673 RX         266668 bytes
1771539814940	oai-nr-du	UE 49a6: LCID 1: TX            522 RX            309 bytes
1771539814940	oai-nr-du	UE 49a6: LCID 2: TX              0 RX              0 bytes
1771539814940	oai-nr-du	UE 49a6: LCID 4: TX             21 RX            453 bytes
1771539814940	oai-nr-du	
1771539815016	oai-nr-du	10429.960695 [NR_PHY] I CPU LDPC decoder:    81.35 us (   81.35 us / seg)
1771539815289	oai-nr-du	10430.232974 [NR_MAC] I Frame.Slot 384.0
1771539815289	oai-nr-du	UE RNTI 49a6 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
1771539815289	oai-nr-du	UE 49a6: dlsch_rounds 1349/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 0
