# start_epoch_ms=1772064465272 interval_s=0.5
ts_epoch_ms,gpu_index,util_gpu_pct,util_mem_pct
1772064465272,0,3,0
1772064465795,0,5,0
1772064466321,0,4,0
1772064466847,0,4,0
1772064467376,0,4,0
1772064467900,0,4,0
1772064468426,0,5,0
1772064468949,0,5,0
1772064469475,0,5,0
1772064469998,0,5,0
1772064470523,0,6,0
1772064471044,0,6,0
1772064471569,0,7,0
1772064472090,0,7,0
1772064472610,0,7,0
1772064473130,0,7,0
1772064473655,0,7,0
1772064474179,0,7,0
1772064474706,0,11,0
1772064475228,0,11,0
1772064475750,0,11,0
1772064476275,0,11,0
1772064476796,0,10,0
1772064477322,0,9,0
1772064477843,0,9,0
1772064478367,0,10,0
1772064478889,0,10,0
1772064479411,0,9,0
1772064479932,0,9,0
1772064480458,0,10,0
1772064480979,0,10,0
1772064481500,0,11,0
1772064482022,0,11,0
1772064482546,0,9,0
1772064483068,0,9,0
1772064483592,0,9,0
1772064484115,0,9,0
1772064484636,0,10,0
1772064485158,0,10,0
1772064485680,0,11,0
1772064486202,0,11,0
1772064486724,0,11,0
1772064487248,0,11,0
1772064487772,0,10,0
1772064488295,0,10,0
1772064488820,0,10,0
1772064489344,0,10,0
1772064489864,0,10,0
1772064490388,0,10,0
1772064490909,0,10,0
1772064491430,0,9,0
1772064491952,0,9,0
1772064492474,0,10,0
1772064493000,0,10,0
1772064493525,0,11,0
1772064494047,0,11,0
1772064494567,0,9,0
1772064495092,0,9,0
1772064495614,0,9,0
1772064496137,0,9,0
1772064496659,0,10,0
1772064497181,0,10,0
1772064497702,0,10,0
1772064498225,0,10,0
1772064498746,0,11,0
1772064499269,0,11,0
1772064499793,0,12,0
1772064500318,0,10,0
1772064500839,0,10,0
1772064501361,0,9,0
1772064501884,0,9,0
1772064502405,0,10,0
1772064502928,0,10,0
1772064503453,0,9,0
1772064503975,0,9,0
1772064504497,0,10,0
1772064505021,0,10,0
1772064505545,0,11,0
1772064506068,0,11,0
1772064506591,0,9,0
1772064507113,0,9,0
1772064507637,0,9,0
1772064508158,0,9,0
1772064508682,0,9,0
1772064509205,0,10,0
1772064509728,0,10,0
1772064510249,0,10,0
1772064510772,0,10,0
1772064511297,0,9,0
1772064511821,0,10,0
1772064512342,0,10,0
1772064512864,0,9,0
1772064513386,0,9,0
1772064513911,0,11,0
1772064514435,0,11,0
1772064514958,0,10,0
1772064515483,0,10,0
1772064516005,0,10,0
1772064516527,0,10,0
1772064517050,0,10,0
1772064517577,0,10,0
1772064518102,0,10,0
1772064518627,0,10,0
1772064519149,0,11,0
1772064519669,0,11,0
1772064520195,0,11,0
1772064520718,0,11,0
1772064521241,0,11,0
1772064521766,0,11,0
1772064522290,0,10,0
1772064522811,0,9,0
1772064523335,0,9,0
1772064523857,0,10,0
1772064524380,0,10,0
1772064524903,0,9,0
