# start_epoch_ms=1772064465272 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772064465272,oai-nr-du,141.52,0.92,1.106GiB / 119.7GiB,113GB / 113GB,0B / 205kB,24
1772064468290,oai-nr-du,149.24,0.92,1.106GiB / 119.7GiB,115GB / 115GB,0B / 205kB,24
1772064471299,oai-nr-du,161.85,0.92,1.106GiB / 119.7GiB,118GB / 118GB,0B / 205kB,24
1772064474307,oai-nr-du,175.46,0.92,1.105GiB / 119.7GiB,121GB / 120GB,0B / 205kB,24
1772064477313,oai-nr-du,174.75,0.92,1.104GiB / 119.7GiB,123GB / 123GB,0B / 205kB,24
1772064480321,oai-nr-du,174.63,0.92,1.105GiB / 119.7GiB,126GB / 125GB,0B / 205kB,24
1772064483327,oai-nr-du,176.04,0.92,1.105GiB / 119.7GiB,128GB / 128GB,0B / 205kB,24
1772064486335,oai-nr-du,177.48,0.93,1.108GiB / 119.7GiB,131GB / 131GB,0B / 217kB,24
1772064489343,oai-nr-du,172.45,0.93,1.107GiB / 119.7GiB,133GB / 133GB,0B / 217kB,24
1772064492351,oai-nr-du,174.48,0.92,1.105GiB / 119.7GiB,136GB / 136GB,0B / 217kB,24
1772064495358,oai-nr-du,175.53,0.92,1.106GiB / 119.7GiB,138GB / 138GB,0B / 217kB,24
1772064498365,oai-nr-du,174.01,0.92,1.106GiB / 119.7GiB,141GB / 141GB,0B / 217kB,24
1772064501373,oai-nr-du,174.02,0.92,1.106GiB / 119.7GiB,143GB / 143GB,0B / 217kB,24
1772064504379,oai-nr-du,176.52,0.92,1.106GiB / 119.7GiB,146GB / 146GB,0B / 217kB,24
1772064507389,oai-nr-du,174.42,0.92,1.107GiB / 119.7GiB,148GB / 148GB,0B / 217kB,24
1772064510395,oai-nr-du,173.27,0.92,1.106GiB / 119.7GiB,151GB / 151GB,0B / 217kB,24
1772064513403,oai-nr-du,174.36,0.92,1.105GiB / 119.7GiB,153GB / 153GB,0B / 217kB,24
1772064516412,oai-nr-du,175.65,0.92,1.105GiB / 119.7GiB,156GB / 156GB,0B / 229kB,24
1772064519420,oai-nr-du,174.68,0.92,1.105GiB / 119.7GiB,158GB / 158GB,0B / 229kB,24
1772064522428,oai-nr-du,176.48,0.92,1.104GiB / 119.7GiB,161GB / 161GB,0B / 229kB,24
