# start_epoch_ms=1772061288293 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772061288293,oai-nr-du,309.37,0.81,993.5MiB / 119.7GiB,16.6GB / 16.6GB,0B / 13.9MB,22
1772061290312,oai-nr-du,325.7,0.81,992.9MiB / 119.7GiB,18GB / 18GB,0B / 13.9MB,22
1772061293319,oai-nr-du,326.86,0.81,993.7MiB / 119.7GiB,19.3GB / 19.4GB,0B / 13.9MB,22
1772061296328,oai-nr-du,326.76,0.81,993.1MiB / 119.7GiB,20.7GB / 20.8GB,0B / 13.9MB,22
1772061299334,oai-nr-du,325.24,0.81,993.2MiB / 119.7GiB,22.1GB / 22.3GB,0B / 13.9MB,22
1772061302342,oai-nr-du,325.39,0.81,993.7MiB / 119.7GiB,23.4GB / 23.7GB,0B / 13.9MB,22
1772061305348,oai-nr-du,323.41,0.81,993.7MiB / 119.7GiB,24.8GB / 25.1GB,0B / 13.9MB,22
1772061308355,oai-nr-du,325.19,0.81,993.7MiB / 119.7GiB,26.1GB / 26.5GB,0B / 13.9MB,22
1772061311364,oai-nr-du,324.56,0.81,993.5MiB / 119.7GiB,27.5GB / 27.9GB,0B / 14MB,22
1772061314370,oai-nr-du,322.92,0.81,993.7MiB / 119.7GiB,28.9GB / 29.3GB,0B / 14MB,22
1772061317377,oai-nr-du,325.68,0.81,993.7MiB / 119.7GiB,30.2GB / 30.7GB,0B / 14MB,22
1772061320382,oai-nr-du,324.49,0.81,993.7MiB / 119.7GiB,31.6GB / 32.1GB,0B / 14MB,22
1772061323390,oai-nr-du,325.99,0.81,993.7MiB / 119.7GiB,32.9GB / 33.5GB,0B / 14MB,22
1772061326400,oai-nr-du,325.13,0.81,993.9MiB / 119.7GiB,34.3GB / 34.9GB,0B / 14MB,22
1772061329406,oai-nr-du,323.82,0.81,993.5MiB / 119.7GiB,35.7GB / 36.3GB,0B / 14MB,22
1772061332414,oai-nr-du,324.15,0.81,993.8MiB / 119.7GiB,37GB / 37.7GB,0B / 14MB,22
1772061335420,oai-nr-du,324.18,0.81,993.7MiB / 119.7GiB,38.4GB / 39.1GB,0B / 14MB,22
1772061338429,oai-nr-du,321.32,0.81,993.6MiB / 119.7GiB,39.7GB / 40.5GB,0B / 14MB,22
1772061341437,oai-nr-du,324.71,0.81,992.9MiB / 119.7GiB,41.1GB / 41.9GB,0B / 14MB,22
1772061344444,oai-nr-du,325.56,0.81,993.5MiB / 119.7GiB,42.5GB / 43.3GB,0B / 14MB,22
