# start_epoch_ms=1772064169132 interval_s=0.5
ts_epoch_ms,gpu_index,power_draw_w,power_limit_w,temp_gpu_c
1772064169132,0,12.69,[N/A],52
1772064169660,0,13.49,[N/A],52
1772064170186,0,14.79,[N/A],52
1772064170711,0,15.45,[N/A],52
1772064171236,0,15.97,[N/A],52
1772064171766,0,16.49,[N/A],52
1772064172293,0,17.25,[N/A],53
1772064172821,0,17.95,[N/A],53
1772064173353,0,18.88,[N/A],53
1772064173883,0,19.96,[N/A],53
1772064174409,0,21.11,[N/A],53
1772064174942,0,21.77,[N/A],54
1772064175473,0,21.94,[N/A],53
1772064176002,0,22.05,[N/A],53
1772064176530,0,22.12,[N/A],54
1772064177056,0,22.11,[N/A],54
1772064177584,0,22.14,[N/A],54
1772064178116,0,22.16,[N/A],53
1772064178648,0,22.12,[N/A],54
1772064179180,0,22.11,[N/A],54
1772064179708,0,22.13,[N/A],54
1772064180236,0,22.17,[N/A],54
1772064180762,0,22.07,[N/A],54
1772064181289,0,22.05,[N/A],54
1772064181815,0,22.06,[N/A],54
1772064182342,0,22.11,[N/A],54
1772064182871,0,22.05,[N/A],54
1772064183394,0,22.00,[N/A],54
1772064183921,0,22.12,[N/A],54
1772064184449,0,22.13,[N/A],54
1772064184974,0,22.12,[N/A],54
1772064185499,0,22.21,[N/A],54
1772064186031,0,22.42,[N/A],54
1772064186556,0,22.48,[N/A],54
1772064187080,0,22.43,[N/A],54
1772064187607,0,22.58,[N/A],55
1772064188141,0,22.61,[N/A],55
1772064188671,0,22.52,[N/A],55
1772064189200,0,22.47,[N/A],54
1772064189724,0,22.44,[N/A],55
1772064190252,0,22.44,[N/A],55
1772064190780,0,22.47,[N/A],55
1772064191307,0,22.50,[N/A],55
1772064191833,0,22.48,[N/A],55
1772064192358,0,22.49,[N/A],55
1772064192882,0,22.55,[N/A],55
1772064193407,0,22.47,[N/A],55
1772064193933,0,22.44,[N/A],55
1772064194460,0,22.46,[N/A],55
1772064194986,0,22.49,[N/A],55
1772064195514,0,22.48,[N/A],55
1772064196039,0,22.52,[N/A],55
1772064196570,0,22.58,[N/A],55
1772064197094,0,22.57,[N/A],55
1772064197624,0,22.54,[N/A],55
1772064198150,0,22.48,[N/A],55
1772064198673,0,22.45,[N/A],55
1772064199200,0,22.44,[N/A],56
1772064199727,0,22.45,[N/A],55
1772064200252,0,22.42,[N/A],55
1772064200777,0,22.44,[N/A],55
1772064201307,0,22.42,[N/A],55
1772064201831,0,22.42,[N/A],55
1772064202358,0,22.45,[N/A],55
1772064202885,0,22.48,[N/A],55
1772064203411,0,22.57,[N/A],55
1772064203942,0,22.81,[N/A],56
1772064204471,0,23.02,[N/A],56
1772064204996,0,23.07,[N/A],56
1772064205524,0,23.15,[N/A],56
1772064206055,0,23.12,[N/A],56
1772064206584,0,22.98,[N/A],56
1772064207111,0,22.95,[N/A],56
1772064207639,0,22.89,[N/A],56
1772064208165,0,23.07,[N/A],56
1772064208690,0,23.15,[N/A],56
1772064209216,0,23.14,[N/A],56
1772064209739,0,23.12,[N/A],56
1772064210262,0,23.17,[N/A],56
1772064210788,0,23.23,[N/A],56
1772064211317,0,23.17,[N/A],56
1772064211843,0,23.10,[N/A],56
1772064212373,0,23.12,[N/A],56
1772064212899,0,23.08,[N/A],56
1772064213424,0,23.00,[N/A],56
1772064213952,0,22.74,[N/A],56
1772064214480,0,22.58,[N/A],56
1772064215004,0,22.51,[N/A],56
1772064215529,0,22.50,[N/A],56
1772064216053,0,22.48,[N/A],56
1772064216577,0,22.49,[N/A],56
1772064217102,0,22.47,[N/A],56
1772064217626,0,22.43,[N/A],56
1772064218154,0,22.60,[N/A],56
1772064218679,0,22.65,[N/A],56
1772064219202,0,22.63,[N/A],56
1772064219728,0,22.69,[N/A],56
1772064220255,0,22.57,[N/A],56
1772064220780,0,22.61,[N/A],56
1772064221306,0,22.60,[N/A],56
1772064221831,0,22.59,[N/A],56
1772064222358,0,22.60,[N/A],56
1772064222889,0,22.61,[N/A],56
1772064223415,0,22.62,[N/A],56
1772064223940,0,22.74,[N/A],56
1772064224466,0,22.75,[N/A],57
1772064224994,0,22.68,[N/A],57
1772064225519,0,22.44,[N/A],56
1772064226044,0,22.47,[N/A],56
1772064226570,0,22.62,[N/A],56
1772064227096,0,22.62,[N/A],56
1772064227622,0,22.57,[N/A],56
1772064228149,0,22.57,[N/A],57
1772064228676,0,22.65,[N/A],56
