# start_epoch_ms=1772064169131 interval_s=0.5
ts_epoch_ms,gpu_index,util_gpu_pct,util_mem_pct
1772064169131,0,2,0
1772064169664,0,4,0
1772064170190,0,4,0
1772064170715,0,7,0
1772064171240,0,7,0
1772064171769,0,9,0
1772064172297,0,12,0
1772064172825,0,12,0
1772064173353,0,13,0
1772064173886,0,13,0
1772064174414,0,18,0
1772064174946,0,18,0
1772064175472,0,18,0
1772064176006,0,18,0
1772064176535,0,19,0
1772064177061,0,19,0
1772064177590,0,19,0
1772064178118,0,19,0
1772064178648,0,21,0
1772064179177,0,21,0
1772064179702,0,19,0
1772064180230,0,19,0
1772064180754,0,17,0
1772064181279,0,18,0
1772064181804,0,18,0
1772064182324,0,18,0
1772064182849,0,18,0
1772064183371,0,18,0
1772064183893,0,18,0
1772064184416,0,18,0
1772064184940,0,18,0
1772064185462,0,20,0
1772064185986,0,20,0
1772064186509,0,20,0
1772064187029,0,20,0
1772064187553,0,21,0
1772064188077,0,21,0
1772064188602,0,22,0
1772064189125,0,22,0
1772064189649,0,21,0
1772064190169,0,21,0
1772064190693,0,20,0
1772064191216,0,20,0
1772064191742,0,20,0
1772064192266,0,20,0
1772064192790,0,20,0
1772064193311,0,20,0
1772064193833,0,20,0
1772064194354,0,20,0
1772064194878,0,20,0
1772064195404,0,21,0
1772064195928,0,21,0
1772064196452,0,20,0
1772064196975,0,20,0
1772064197498,0,22,0
1772064198020,0,22,0
1772064198544,0,20,0
1772064199067,0,20,0
1772064199591,0,20,0
1772064200112,0,20,0
1772064200636,0,21,0
1772064201158,0,21,0
1772064201691,0,20,0
1772064202217,0,20,0
1772064202740,0,20,0
1772064203265,0,20,0
1772064203787,0,19,0
1772064204309,0,20,0
1772064204834,0,20,0
1772064205359,0,20,0
1772064205882,0,20,0
1772064206407,0,21,0
1772064206929,0,21,0
1772064207452,0,20,0
1772064207977,0,20,0
1772064208502,0,21,0
1772064209026,0,21,0
1772064209547,0,21,0
1772064210071,0,21,0
1772064210593,0,21,0
1772064211118,0,21,0
1772064211643,0,22,0
1772064212167,0,22,0
1772064212688,0,22,0
1772064213212,0,22,0
1772064213737,0,20,0
1772064214261,0,20,0
1772064214789,0,19,0
1772064215312,0,19,0
1772064215838,0,19,0
1772064216362,0,19,0
1772064216886,0,19,0
1772064217409,0,19,0
1772064217931,0,19,0
1772064218455,0,20,0
1772064218981,0,20,0
1772064219509,0,19,0
1772064220034,0,19,0
1772064220559,0,19,0
1772064221083,0,19,0
1772064221608,0,20,0
1772064222133,0,20,0
1772064222659,0,21,0
1772064223181,0,21,0
1772064223708,0,19,0
1772064224230,0,19,0
1772064224750,0,20,0
1772064225273,0,18,0
1772064225797,0,18,0
1772064226319,0,19,0
1772064226840,0,19,0
1772064227366,0,21,0
1772064227891,0,21,0
1772064228414,0,19,0
1772064228937,0,19,0
