# start_epoch_ms=1771460688583 interval_s=0.5
ts_epoch_ms,gpu_index,power_draw_w,power_limit_w,temp_gpu_c
1771460688583,0,11.23,[N/A],46
1771460689111,0,16.09,[N/A],47
1771460689638,0,26.30,[N/A],48
1771460690168,0,34.04,[N/A],50
1771460690701,0,37.13,[N/A],50
1771460691229,0,37.40,[N/A],51
1771460691760,0,37.47,[N/A],51
1771460692283,0,37.50,[N/A],51
1771460692809,0,37.48,[N/A],51
1771460693333,0,37.60,[N/A],51
1771460693857,0,37.66,[N/A],51
1771460694382,0,37.60,[N/A],52
1771460694906,0,37.58,[N/A],52
1771460695432,0,37.60,[N/A],52
1771460695958,0,37.61,[N/A],52
1771460696481,0,37.69,[N/A],52
1771460697005,0,37.67,[N/A],52
1771460697528,0,37.75,[N/A],53
1771460698053,0,37.82,[N/A],53
1771460698579,0,37.83,[N/A],53
1771460699107,0,37.86,[N/A],53
1771460699633,0,37.80,[N/A],53
1771460700160,0,37.59,[N/A],53
1771460700688,0,37.57,[N/A],53
1771460701211,0,37.85,[N/A],53
1771460701737,0,37.88,[N/A],53
1771460702262,0,37.87,[N/A],54
1771460702790,0,37.90,[N/A],54
1771460703314,0,38.04,[N/A],54
1771460703837,0,37.91,[N/A],54
1771460704362,0,37.72,[N/A],54
1771460704887,0,37.88,[N/A],54
1771460705413,0,37.97,[N/A],54
1771460705937,0,37.94,[N/A],54
1771460706461,0,38.08,[N/A],54
1771460706986,0,37.94,[N/A],54
1771460707512,0,37.97,[N/A],55
1771460708036,0,38.02,[N/A],55
1771460708562,0,38.03,[N/A],55
1771460709089,0,38.04,[N/A],55
1771460709621,0,37.88,[N/A],55
1771460710147,0,38.06,[N/A],55
1771460710672,0,38.22,[N/A],55
1771460711198,0,38.05,[N/A],55
1771460711722,0,37.64,[N/A],55
1771460712249,0,37.63,[N/A],55
1771460712775,0,37.79,[N/A],55
1771460713303,0,37.56,[N/A],55
1771460713828,0,37.26,[N/A],55
1771460714355,0,37.14,[N/A],55
1771460714881,0,37.31,[N/A],55
1771460715418,0,37.33,[N/A],56
1771460715942,0,37.62,[N/A],56
1771460716467,0,38.19,[N/A],56
1771460716993,0,37.77,[N/A],56
1771460717518,0,37.62,[N/A],56
1771460718044,0,37.81,[N/A],56
1771460718568,0,37.44,[N/A],56
1771460719093,0,37.52,[N/A],56
1771460719627,0,37.59,[N/A],56
1771460720151,0,38.05,[N/A],56
1771460720677,0,38.41,[N/A],57
1771460721202,0,38.51,[N/A],57
1771460721729,0,38.63,[N/A],57
1771460722253,0,38.53,[N/A],57
1771460722778,0,38.43,[N/A],57
1771460723304,0,37.94,[N/A],57
1771460723830,0,37.76,[N/A],57
1771460724364,0,37.58,[N/A],57
1771460724896,0,36.65,[N/A],57
1771460725425,0,37.02,[N/A],57
1771460725954,0,38.20,[N/A],57
1771460726478,0,38.36,[N/A],57
1771460727003,0,38.38,[N/A],57
1771460727530,0,38.40,[N/A],58
1771460728058,0,38.47,[N/A],58
1771460728586,0,38.27,[N/A],57
1771460729113,0,38.32,[N/A],58
1771460729640,0,37.96,[N/A],58
1771460730165,0,37.64,[N/A],58
1771460730689,0,37.89,[N/A],58
1771460731214,0,38.08,[N/A],58
1771460731741,0,38.11,[N/A],58
1771460732266,0,38.09,[N/A],58
1771460732790,0,38.31,[N/A],58
1771460733314,0,37.78,[N/A],58
1771460733847,0,37.91,[N/A],58
1771460734372,0,38.06,[N/A],58
1771460734901,0,38.17,[N/A],58
1771460735424,0,38.88,[N/A],58
1771460735948,0,38.90,[N/A],58
1771460736473,0,38.90,[N/A],58
1771460737002,0,38.92,[N/A],59
1771460737526,0,38.94,[N/A],59
1771460738051,0,38.98,[N/A],59
1771460738577,0,38.98,[N/A],59
1771460739105,0,38.96,[N/A],59
1771460739630,0,38.99,[N/A],59
1771460740154,0,39.06,[N/A],59
1771460740679,0,39.05,[N/A],59
1771460741204,0,38.84,[N/A],59
1771460741734,0,38.81,[N/A],59
1771460742262,0,39.05,[N/A],59
1771460742789,0,39.16,[N/A],59
1771460743316,0,39.13,[N/A],59
1771460743841,0,39.09,[N/A],59
1771460744368,0,39.05,[N/A],59
1771460744891,0,39.12,[N/A],59
1771460745415,0,39.07,[N/A],59
1771460745941,0,39.06,[N/A],59
1771460746466,0,39.10,[N/A],59
1771460746992,0,39.12,[N/A],59
1771460747517,0,39.20,[N/A],59
1771460748044,0,39.11,[N/A],59
