# start_epoch_ms=1771460688583 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771460688583,oai-nr-du,347.26,0.89,1.062GiB / 119.7GiB,47.6GB / 47.6GB,0B / 86kB,24
1771460691174,oai-nr-du,348.02,0.89,1.062GiB / 119.7GiB,48.8GB / 48.9GB,0B / 86kB,24
1771460694210,oai-nr-du,347.26,0.89,1.062GiB / 119.7GiB,49.7GB / 49.7GB,0B / 86kB,24
1771460696236,oai-nr-du,345.91,0.89,1.063GiB / 119.7GiB,50.9GB / 51GB,0B / 86kB,24
1771460699275,oai-nr-du,347.17,0.89,1.063GiB / 119.7GiB,52.1GB / 52.3GB,0B / 86kB,24
1771460702314,oai-nr-du,349.0,0.89,1.063GiB / 119.7GiB,53.4GB / 53.6GB,0B / 86kB,24
1771460705356,oai-nr-du,345.93,0.89,1.062GiB / 119.7GiB,54.2GB / 54.4GB,0B / 86kB,24
1771460707380,oai-nr-du,345.63,0.89,1.063GiB / 119.7GiB,55GB / 55.3GB,0B / 94.2kB,24
1771460709406,oai-nr-du,347.85,0.89,1.062GiB / 119.7GiB,56.2GB / 56.5GB,0B / 94.2kB,24
1771460712451,oai-nr-du,349.44,0.89,1.063GiB / 119.7GiB,57.4GB / 57.8GB,0B / 94.2kB,24
1771460715491,oai-nr-du,348.21,0.89,1.063GiB / 119.7GiB,58.2GB / 58.6GB,0B / 94.2kB,24
1771460717518,oai-nr-du,344.58,0.89,1.063GiB / 119.7GiB,59GB / 59.4GB,0B / 94.2kB,24
1771460719541,oai-nr-du,345.24,0.89,1.063GiB / 119.7GiB,60.2GB / 60.6GB,0B / 94.2kB,24
1771460722575,oai-nr-du,345.57,0.89,1.063GiB / 119.7GiB,61GB / 61.5GB,0B / 94.2kB,24
1771460724598,oai-nr-du,345.56,0.89,1.063GiB / 119.7GiB,62.2GB / 62.7GB,0B / 94.2kB,24
1771460727643,oai-nr-du,347.12,0.89,1.063GiB / 119.7GiB,63GB / 63.5GB,0B / 94.2kB,24
1771460729670,oai-nr-du,344.73,0.89,1.064GiB / 119.7GiB,63.8GB / 64.3GB,0B / 94.2kB,24
1771460731700,oai-nr-du,341.63,0.89,1.063GiB / 119.7GiB,64.9GB / 65.5GB,0B / 94.2kB,24
1771460734731,oai-nr-du,348.16,0.89,1.062GiB / 119.7GiB,66.2GB / 66.8GB,0B / 94.2kB,24
1771460737769,oai-nr-du,346.55,0.89,1.062GiB / 119.7GiB,67GB / 67.7GB,0B / 94.2kB,24
1771460739793,oai-nr-du,346.1,0.89,1.062GiB / 119.7GiB,67.8GB / 68.5GB,0B / 102kB,24
1771460741818,oai-nr-du,347.55,0.89,1.062GiB / 119.7GiB,68.6GB / 69.4GB,0B / 102kB,24
1771460743843,oai-nr-du,346.74,0.89,1.063GiB / 119.7GiB,69.9GB / 70.7GB,0B / 102kB,24
