ue_count,run_name,start_epoch_ms,start_iso_utc,test_window_start_ms,test_window_end_ms,test_window_duration_s,test_window_source,iperf_expected_ues,iperf_total_mbps,iperf_per_ue_mbps,iperf_files,iperf_parse_ok_rate,iperf_end_present_rate,iperf_missing_end,iperf_warn_prefix,iperf_stderr_err,iperf_reverse_n,iperf_fairness_jain,cu_cpu_mean_pct,cu_cpu_p95_pct,du_cpu_mean_pct,du_cpu_p95_pct,system_cpu_mean_pct,system_cpu_p95_pct,ldpc_impl,ldpc_threads_cfg,ldpc_bucket_ms,ldpc_wall_mean_us,ldpc_wall_p95_us,ldpc_perseg_mean_us,ldpc_samples_per_s,ldpc_segments_est_mean,ldpc_effpar_mean,ldpc_core_proxy_mean_us,ldpc_core_proxy_p95_us,ldpc_core_proxy_method,slots_per_frame,slot_rate_mean_sps,real_time_factor,zmq_published_counter_rate_sps,zmq_published_line_rate_sps,zmq_usage_error
0,20260225_181048_ues0,1772061048171,2026-02-25T23:10:48.171000+00:00,1772061048171,1772061108171,60.0,manifest_start+fallback_duration,0,,,0,,,0,0,0,0,,1.7121052631578948,2.2929999999999997,210.16368421052633,213.26899999999998,15.282853982142857,16.8270421,cpu,4,5,79.87266666666666,91.09799999999998,79.87266666666666,1.0021044192804889,1.0,1.0,79.87266666666666,91.09799999999998,eff_parallelism_scaling,10,3741.1898319804923,3.7411898319804924,,0.0,False
1,20260225_181448_ues1,1772061288293,2026-02-25T23:14:48.293000+00:00,1772061288000,1772061348000,60.0,iperf,1,114.5946294802013,114.5946294802013,1,1.0,1.0,0,0,0,0,1.0,22.981052631578947,24.432,324.7926315789474,326.77,26.730057526785714,28.080105599999996,cpu,4,5,255.85649999999998,262.09,33.160333333333334,1.0053282396702523,7.937441389615409,3.933904267589389,1016.737630449827,1048.36,eff_parallelism_scaling,10,1844.4422103816896,1.8444422103816895,,0.0,False
3,20260225_181820_ues3,1772061501233,2026-02-25T23:18:21.233000+00:00,1772061501000,1772061561000,60.0,iperf,3,65.21148909256519,21.73716303085506,3,1.0,1.0,0,0,0,0,0.9999972679374006,16.801052631578948,17.685,289.92578947368423,291.72900000000004,25.112819312499997,26.369550699999998,cpu,4,5,262.5975,268.3625,34.0865,1.00524402298658,7.92549290438331,3.9472276533224924,1042.0583626026846,1073.45,eff_parallelism_scaling,10,1045.8584414257991,1.0458584414257992,,0.0,False
6,20260225_182155_ues6,1772061715988,2026-02-25T23:21:55.988000+00:00,1772061716000,1772061776000,60.0,iperf,6,35.08839606430605,5.848066010717676,6,1.0,1.0,0,0,0,0,0.9994840537475815,9.015263157894736,10.626999999999999,205.53526315789475,207.18499999999997,19.58124325225225,21.428660999999998,cpu,4,5,275.2728333333333,286.04550000000006,36.95366666666666,1.0151940712666239,7.777409642181851,3.9167720533577155,1087.4236051018372,1144.1820000000002,eff_parallelism_scaling,10,551.7336505801824,0.5517336505801824,,0.0,False
12,20260225_182659_ues12,1772062021040,2026-02-25T23:27:01.040000+00:00,1772062021000,1772062081000,60.0,iperf,12,16.352103731925425,1.3626753109937855,12,1.0,0.0,12,12,0,0,0.999996957873069,5.690526315789474,6.888999999999999,162.38315789473685,164.921,16.906945446428573,17.9520882,cpu,4,5,273.17983333333336,293.63149999999996,40.451,1.0136504933099066,7.348957628113799,3.8164411398416846,1063.8208584964038,1174.5259999999998,eff_parallelism_scaling,10,285.1219136066894,0.2851219136066894,,0.0,False
