ue_count,run_name,start_epoch_ms,start_iso_utc,iperf_total_mbps,iperf_per_ue_mbps,iperf_files,iperf_missing_end,iperf_warn_prefix,iperf_stderr_err,iperf_fairness_jain,cu_cpu_mean_pct,cu_cpu_p95_pct,du_cpu_mean_pct,du_cpu_p95_pct,ldpc_mean_us,ldpc_p95_us,ldpc_events_per_s,ldpc_impl,ldpc_threads_assumed,ldpc_threads_observed_p50,ldpc_threads_observed_max,ldpc_thread_mean_us,ldpc_thread_p95_us,ldpc_thread_events_per_s,ldpc_cum_mean_us,ldpc_cum_p95_us,ldpc_cum_events_per_s,du_ue_ids_count,gpu_util_mean_pct,gpu_util_p95_pct,gpu_power_mean_w,gpu_power_p95_w,gpu_temp_mean_c
0,20260218_191943_ues0,1771460383329,2026-02-19T00:19:43.329000+00:00,,,0,0,0,0,,1.9177272727272727,2.1990000000000003,208.8972727272727,211.0235,208.65029411764704,222.09,0.5708625060864018,cuda,1,1.0,1.0,208.65029411764704,222.09,0.5708625060864018,208.65029411764704,222.09,0.5708625060864018,1,1.3217391304347825,2.299999999999997,11.833947368421052,12.2345,46.50877192982456
1,20260218_192448_ues1,1771460688583,2026-02-19T00:24:48.583000+00:00,101.199095920663,101.199095920663,1,0,0,0,1.0,20.511739130434783,21.838,346.574347826087,348.921,322.5512987012987,360.402,1.2871088526343943,cuda,1,1.0,1.0,322.5512987012987,360.402,1.2871088526343943,322.5512987012987,360.402,1.2871088526343943,1,45.43478260869565,50.0,37.541403508771936,39.1035,55.64035087719298
3,20260218_192836_ues3,1771460917419,2026-02-19T00:28:37.419000+00:00,64.81956730662083,21.606522435540274,3,0,0,0,0.9999999396811268,16.626153846153844,18.1725,326.685,347.025,319.2191836734694,344.048,0.8272974387546641,cuda,1,1.0,1.0,319.2191836734694,344.048,0.8272974387546641,319.2191836734694,344.048,0.8272974387546641,3,28.330434782608695,33.89999999999999,28.905,30.4035,53.921052631578945
6,20260218_193305_ues6,1771461186597,2026-02-19T00:33:06.597000+00:00,32.78448737679896,5.464081229466493,6,0,0,0,0.999935221662316,9.222222222222221,11.075999999999999,224.34521739130432,235.21599999999998,342.6076923076923,386.265,0.4448550799028163,cuda,1,1.0,1.0,342.6076923076923,386.265,0.4448550799028163,342.6076923076923,386.265,0.4448550799028163,6,15.695652173913043,20.0,20.88956140350877,22.0435,51.62280701754386
12,20260218_193808_ues12,1771461489928,2026-02-19T00:38:09.928000+00:00,16.755547102756427,1.3962955918963689,12,12,12,0,0.9999954358061326,5.978888888888889,7.1579999999999995,175.37555555555556,182.50099999999998,337.6507142857143,377.3835,0.2451710067772271,cuda,1,1.0,1.0,337.6507142857143,377.3835,0.2451710067772271,337.6507142857143,377.3835,0.2451710067772271,12,8.71304347826087,13.299999999999997,16.577368421052633,17.5535,49.824561403508774
