# start_epoch_ms=1772063387527 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772063387527,oai-nr-cu,15.93,0.13,153.5MiB / 119.7GiB,6.62MB / 6.64MB,0B / 332kB,16
1772063389547,oai-nr-cu,20.88,0.13,153.4MiB / 119.7GiB,51.1MB / 51.3MB,0B / 344kB,16
1772063392557,oai-nr-cu,21.75,0.13,153.8MiB / 119.7GiB,95.6MB / 96.1MB,0B / 356kB,16
1772063395564,oai-nr-cu,19.67,0.13,153.4MiB / 119.7GiB,140MB / 141MB,0B / 369kB,16
1772063398571,oai-nr-cu,22.24,0.13,153.6MiB / 119.7GiB,185MB / 186MB,0B / 381kB,16
1772063401581,oai-nr-cu,21.73,0.13,153.5MiB / 119.7GiB,229MB / 231MB,0B / 393kB,16
1772063404587,oai-nr-cu,21.8,0.13,153.6MiB / 119.7GiB,274MB / 275MB,0B / 406kB,16
1772063407594,oai-nr-cu,18.49,0.13,153.4MiB / 119.7GiB,318MB / 320MB,0B / 418kB,16
1772063410599,oai-nr-cu,19.4,0.13,153.4MiB / 119.7GiB,363MB / 365MB,0B / 430kB,16
1772063413606,oai-nr-cu,22.97,0.13,153.5MiB / 119.7GiB,408MB / 410MB,0B / 442kB,16
1772063416612,oai-nr-cu,20.6,0.13,153.5MiB / 119.7GiB,452MB / 454MB,0B / 455kB,16
1772063419618,oai-nr-cu,18.94,0.13,153.5MiB / 119.7GiB,497MB / 499MB,0B / 467kB,16
1772063422626,oai-nr-cu,21.69,0.13,153.4MiB / 119.7GiB,541MB / 544MB,0B / 479kB,16
1772063425631,oai-nr-cu,21.09,0.13,153.6MiB / 119.7GiB,586MB / 589MB,0B / 492kB,16
1772063428637,oai-nr-cu,19.83,0.13,153.5MiB / 119.7GiB,630MB / 633MB,0B / 504kB,16
1772063431644,oai-nr-cu,22.49,0.13,153.6MiB / 119.7GiB,675MB / 678MB,0B / 516kB,16
1772063434651,oai-nr-cu,20.08,0.13,153.4MiB / 119.7GiB,718MB / 721MB,0B / 528kB,16
1772063437660,oai-nr-cu,21.77,0.13,153.6MiB / 119.7GiB,761MB / 765MB,0B / 541kB,16
1772063440666,oai-nr-cu,18.58,0.13,153.6MiB / 119.7GiB,803MB / 807MB,0B / 553kB,16
1772063443673,oai-nr-cu,19.96,0.13,153.6MiB / 119.7GiB,845MB / 849MB,0B / 565kB,16
