ue_count,run_name,start_epoch_ms,start_iso_utc,iperf_total_mbps,iperf_per_ue_mbps,iperf_files,iperf_missing_end,iperf_warn_prefix,iperf_stderr_err,iperf_fairness_jain,cu_cpu_mean_pct,cu_cpu_p95_pct,du_cpu_mean_pct,du_cpu_p95_pct,ldpc_mean_us,ldpc_p95_us,ldpc_events_per_s,ldpc_impl,ldpc_threads_assumed,ldpc_threads_observed_p50,ldpc_threads_observed_max,ldpc_thread_mean_us,ldpc_thread_p95_us,ldpc_thread_events_per_s,ldpc_cum_mean_us,ldpc_cum_p95_us,ldpc_cum_events_per_s,du_ue_ids_count
0,20260219_172332_ues0,1771539812470,2026-02-19T22:23:32.470000+00:00,,,0,0,0,0,,1.7035,2.6015,213.531,216.87800000000001,79.85338983050848,94.46399999999998,0.9884071567379213,cpu,4,1.0,1.0,79.85338983050848,94.46399999999998,0.9884071567379213,319.4135593220339,377.85599999999994,3.9536286269516854,1
1,20260219_172441_ues1,1771539881791,2026-02-19T22:24:41.791000+00:00,113.83921937149933,113.83921937149933,1,0,0,0,1.0,22.678,25.3745,329.264,332.279,256.267,262.177,1.010662489261711,cpu,4,1.0,1.0,256.267,262.177,1.010662489261711,1025.068,1048.708,4.042649957046844,1
3,20260219_172959_ues3,1771540200385,2026-02-19T22:30:00.385000+00:00,64.27436814780069,21.424789382600228,3,0,0,0,0.9999998960951457,16.415,17.828,288.0605,296.9695,260.15366666666665,268.5225,1.016294589925133,cpu,4,1.0,1.0,260.15366666666665,268.5225,1.016294589925133,1040.6146666666666,1074.09,4.065178359700532,3
6,20260219_173535_ues6,1771540536171,2026-02-19T22:35:36.171000+00:00,32.40136838392699,5.400228063987831,6,0,0,0,0.9999046077747799,8.619499999999999,9.372,202.2945,209.6795,275.29033333333336,287.92049999999995,1.0154002369267219,cpu,4,1.0,1.0,275.29033333333336,287.92049999999995,1.0154002369267219,1101.1613333333335,1151.6819999999998,4.0616009477068875,6
12,20260219_174039_ues12,1771540841133,2026-02-19T22:40:41.133000+00:00,15.790522668326606,1.3158768890272172,12,12,12,0,0.9999938923966437,5.5355,6.0975,152.784,158.898,276.6566666666667,296.2275,1.0139759687695402,cpu,4,1.0,1.0,276.6566666666667,296.2275,1.0139759687695402,1106.6266666666668,1184.91,4.055903875078161,12
