# start_epoch_ms=1772063587937 interval_s=0.5 source=/proc/stat
ts_epoch_ms,cpu_total_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,load1,load5,load15,procs_running,procs_total
1772063587937,nan,nan,nan,nan,nan,2.26,2.23,1.78,8,1828
1772063588437,19.938017,10.640496,9.297521,0.413223,79.648760,2.26,2.23,1.78,10,1903
1772063588938,20.880246,11.566018,9.314227,0.307062,78.812692,2.26,2.23,1.78,3,1904
1772063589438,22.484600,12.217659,10.266940,0.205339,77.310062,2.26,2.23,1.78,4,1905
1772063589939,23.498965,13.354037,10.144928,0.103520,76.397516,2.26,2.23,1.78,5,1896
1772063590439,25.906736,14.922280,10.984456,0.310881,73.782383,2.26,2.23,1.78,6,1907
1772063590939,28.467909,16.045549,12.422360,0.207039,71.325052,2.26,2.23,1.78,7,1898
1772063591440,28.350515,16.185567,12.164948,0.206186,71.443299,2.26,2.23,1.78,8,1907
1772063591940,28.082902,16.062176,12.020725,0.414508,71.502591,2.56,2.29,1.8,7,1906
1772063592440,27.754678,15.384615,12.370062,0.103950,72.141372,2.56,2.29,1.8,8,1906
1772063592941,28.099174,16.219008,11.880165,0.309917,71.590909,2.56,2.29,1.8,7,1895
1772063593441,28.527291,16.168898,12.358393,0.205973,71.266735,2.56,2.29,1.8,12,1905
1772063593942,27.536232,15.734990,11.801242,0.207039,72.256729,2.56,2.29,1.8,8,1895
1772063594442,28.733265,16.168898,12.564367,0.308960,70.957775,2.56,2.29,1.8,6,1904
1772063594942,28.808290,16.165803,12.642487,0.103627,71.088083,2.56,2.29,1.8,8,1904
1772063595443,28.335057,16.132368,12.202689,0.310238,71.354705,2.56,2.29,1.8,4,1904
1772063595943,27.966976,16.099071,11.867905,0.206398,71.826625,2.56,2.29,1.8,5,1894
1772063596444,28.410256,15.897436,12.512821,0.307692,71.282051,2.56,2.29,1.8,12,1907
1772063596944,27.772021,15.544041,12.227979,0.207254,72.020725,3.08,2.4,1.84,7,1898
1772063597444,28.806584,16.358025,12.448560,0.514403,70.679012,3.08,2.4,1.84,7,1906
1772063597945,28.675704,16.162669,12.513034,0.312826,71.011470,3.08,2.4,1.84,9,1911
1772063598445,28.914405,15.970772,12.943633,0.104384,70.981211,3.08,2.4,1.84,3,1906
1772063598945,29.514964,16.408669,13.106295,0.309598,70.175439,3.08,2.4,1.84,11,1897
1772063599446,31.301653,17.768595,13.533058,0.103306,68.595041,3.08,2.4,1.84,7,1906
1772063599946,29.405631,16.996872,12.408759,0.312826,70.281543,3.08,2.4,1.84,3,1896
1772063600447,29.089027,16.356108,12.732919,0.207039,70.703934,3.08,2.4,1.84,8,1906
1772063600947,27.870564,15.553236,12.317328,0.104384,72.025052,3.08,2.4,1.84,15,1921
1772063601447,29.411765,16.305470,13.106295,0.309598,70.278638,3.08,2.4,1.84,2,1907
1772063601948,30.155440,17.409326,12.746114,0.207254,69.637306,3.39,2.48,1.87,11,1897
1772063602448,31.818182,17.561983,14.256198,0.206612,67.975207,3.39,2.48,1.87,2,1906
1772063602949,29.875519,17.012448,12.863071,0.207469,69.917012,3.39,2.48,1.87,9,1898
1772063603449,30.761210,16.892596,13.868613,0.104275,69.134515,3.39,2.48,1.87,5,1910
1772063603949,29.583333,16.562500,13.020833,0.312500,70.104167,3.39,2.48,1.87,9,1908
1772063604450,39.750260,23.100937,16.649324,0.208117,60.041623,3.39,2.48,1.87,11,1951
1772063604950,32.012513,18.978102,13.034411,0.417101,67.570386,3.39,2.48,1.87,3,1941
1772063605451,30.434783,18.012422,12.422360,0.310559,69.254658,3.39,2.48,1.87,5,1953
1772063605951,30.977131,17.463617,13.513514,0.207900,68.814969,3.39,2.48,1.87,6,1969
1772063606451,28.898129,17.047817,11.850312,0.311850,70.790021,3.39,2.48,1.87,5,1980
1772063606952,31.366460,18.115942,13.250518,0.103520,68.530021,3.84,2.59,1.91,9,1979
1772063607452,29.886246,17.166494,12.719752,0.310238,69.803516,3.84,2.59,1.91,6,1982
1772063607953,31.023785,17.993795,13.029990,0.206825,68.769390,3.84,2.59,1.91,5,1972
1772063608453,29.906542,17.133956,12.772586,0.311526,69.781931,3.84,2.59,1.91,7,1981
1772063608953,27.933541,16.095535,11.838006,0.311526,71.754933,3.84,2.59,1.91,2,1969
1772063609454,31.134021,17.628866,13.505155,0.103093,68.762887,3.84,2.59,1.91,8,1979
1772063609954,29.162358,17.166494,11.995863,0.310238,70.527404,3.84,2.59,1.91,4,1980
1772063610454,29.503106,17.391304,12.111801,0.207039,70.289855,3.84,2.59,1.91,2,1980
1772063610955,27.582645,15.909091,11.673554,0.206612,72.210744,3.84,2.59,1.91,4,1971
1772063611455,30.555556,17.386831,13.168724,0.205761,69.238683,3.84,2.59,1.91,3,1979
1772063611956,30.658436,17.798354,12.860082,0.205761,69.135802,3.85,2.61,1.92,8,1969
1772063612456,29.740933,16.683938,13.056995,0.310881,69.948187,3.85,2.61,1.92,5,1979
1772063612956,29.545455,16.425620,13.119835,0.206612,70.247934,3.85,2.61,1.92,4,1979
1772063613457,29.895833,17.395833,12.500000,0.312500,69.791667,3.85,2.61,1.92,11,1979
1772063613957,29.637306,16.683938,12.953368,0.310881,70.051813,3.85,2.61,1.92,8,1970
1772063614457,28.898129,16.735967,12.162162,0.103950,70.997921,3.85,2.61,1.92,10,1983
1772063614958,31.134021,18.144330,12.989691,0.309278,68.556701,3.85,2.61,1.92,6,1973
1772063615458,29.687500,17.604167,12.083333,0.208333,70.104167,3.85,2.61,1.92,7,1988
1772063615958,29.028926,16.735537,12.293388,0.309917,70.661157,3.85,2.61,1.92,9,1986
1772063616459,33.608247,19.690722,13.917526,0.206186,66.185567,3.85,2.61,1.92,6,1948
1772063616959,31.340206,17.731959,13.608247,0.206186,68.453608,4.03,2.67,1.94,6,1937
1772063617459,30.031283,17.831074,12.200209,0.208551,69.760167,4.03,2.67,1.94,4,1949
1772063617960,31.884058,18.530021,13.354037,0.103520,68.012422,4.03,2.67,1.94,6,1956
1772063618460,31.818182,17.665289,14.152893,0.309917,67.871901,4.03,2.67,1.94,7,1966
1772063618961,28.186528,16.062176,12.124352,0.207254,71.606218,4.03,2.67,1.94,3,1954
1772063619461,29.369183,16.442606,12.926577,0.310238,70.320579,4.03,2.67,1.94,10,1953
1772063619961,28.762887,16.082474,12.680412,0.309278,70.927835,4.03,2.67,1.94,6,1936
1772063620462,28.778468,16.045549,12.732919,0.207039,71.014493,4.03,2.67,1.94,7,1946
1772063620962,28.645295,16.442606,12.202689,0.206825,71.147880,4.03,2.67,1.94,6,1935
1772063621462,29.290853,16.341213,12.949640,0.205550,70.503597,4.03,2.67,1.94,10,1946
1772063621963,28.644764,15.913758,12.731006,0.205339,71.149897,4.5,2.79,1.99,3,1947
1772063622463,28.321318,15.859938,12.461380,0.308960,71.369722,4.5,2.79,1.99,4,1949
1772063622963,28.305785,15.805785,12.500000,0.103306,71.590909,4.5,2.79,1.99,7,1937
1772063623464,28.082902,15.854922,12.227979,0.414508,71.502591,4.5,2.79,1.99,11,1947
1772063623964,29.436326,17.745303,11.691023,0.104384,70.459290,4.5,2.79,1.99,6,1937
1772063624464,28.556701,15.773196,12.783505,0.309278,71.134021,4.5,2.79,1.99,8,1946
1772063624964,28.160329,16.135663,12.024666,0.308325,71.531346,4.5,2.79,1.99,4,1946
1772063625465,28.482972,16.099071,12.383901,0.206398,71.310630,4.5,2.79,1.99,6,1946
1772063625965,28.600823,16.049383,12.551440,0.308642,71.090535,4.5,2.79,1.99,3,1936
