# start_epoch_ms=1772062953211 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772062953211,oai-nr-du,213.49,0.97,1.165GiB / 119.7GiB,39.8GB / 39.8GB,113MB / 86kB,24
1772062955230,oai-nr-du,208.48,0.97,1.166GiB / 119.7GiB,42.5GB / 42.5GB,113MB / 86kB,24
1772062958239,oai-nr-du,212.95,0.97,1.165GiB / 119.7GiB,45.3GB / 45.3GB,113MB / 86kB,24
1772062961248,oai-nr-du,216.91,0.97,1.165GiB / 119.7GiB,48.1GB / 48GB,113MB / 86kB,24
1772062964256,oai-nr-du,212.73,0.97,1.165GiB / 119.7GiB,50.8GB / 50.8GB,113MB / 86kB,24
1772062967263,oai-nr-du,212.74,0.97,1.165GiB / 119.7GiB,53.5GB / 53.5GB,113MB / 86kB,24
1772062970269,oai-nr-du,215.08,0.97,1.165GiB / 119.7GiB,56.3GB / 56.3GB,113MB / 86kB,24
1772062973278,oai-nr-du,214.4,0.97,1.165GiB / 119.7GiB,59GB / 59GB,113MB / 86kB,24
1772062976284,oai-nr-du,216.0,0.97,1.165GiB / 119.7GiB,61.7GB / 61.7GB,113MB / 86kB,24
1772062979291,oai-nr-du,210.7,0.97,1.164GiB / 119.7GiB,64.5GB / 64.5GB,113MB / 86kB,24
1772062982301,oai-nr-du,214.76,0.97,1.165GiB / 119.7GiB,67.2GB / 67.2GB,113MB / 94.2kB,24
1772062985307,oai-nr-du,210.95,0.97,1.165GiB / 119.7GiB,69.9GB / 69.9GB,113MB / 94.2kB,24
1772062988318,oai-nr-du,210.27,0.97,1.166GiB / 119.7GiB,72.6GB / 72.6GB,113MB / 94.2kB,24
1772062991323,oai-nr-du,213.07,0.97,1.165GiB / 119.7GiB,75.4GB / 75.4GB,113MB / 94.2kB,24
1772062994332,oai-nr-du,211.1,0.97,1.165GiB / 119.7GiB,78.1GB / 78.1GB,113MB / 94.2kB,24
1772062997339,oai-nr-du,212.81,0.97,1.165GiB / 119.7GiB,80.8GB / 80.8GB,113MB / 94.2kB,24
1772063000346,oai-nr-du,213.36,0.97,1.165GiB / 119.7GiB,83.5GB / 83.5GB,113MB / 94.2kB,24
1772063003356,oai-nr-du,215.09,0.97,1.165GiB / 119.7GiB,86.3GB / 86.3GB,113MB / 94.2kB,24
1772063006362,oai-nr-du,212.62,0.97,1.165GiB / 119.7GiB,89GB / 89GB,113MB / 94.2kB,24
1772063009370,oai-nr-du,210.55,0.97,1.165GiB / 119.7GiB,91.7GB / 91.7GB,113MB / 94.2kB,24
