# start_epoch_ms=1771461186598 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771461186598,oai-nr-du,169.53,0.9,1.083GiB / 119.7GiB,64.2GB / 64.2GB,0B / 119kB,24
1771461188819,oai-nr-du,196.2,0.9,1.082GiB / 119.7GiB,66.7GB / 66.7GB,0B / 127kB,24
1771461191861,oai-nr-du,220.94,0.9,1.082GiB / 119.7GiB,68.3GB / 68.3GB,0B / 127kB,24
1771461193908,oai-nr-du,222.97,0.9,1.083GiB / 119.7GiB,70.8GB / 70.8GB,0B / 127kB,24
1771461196962,oai-nr-du,223.21,0.91,1.084GiB / 119.7GiB,73.2GB / 73.3GB,0B / 127kB,24
1771461200008,oai-nr-du,229.59,0.91,1.083GiB / 119.7GiB,74.9GB / 74.9GB,0B / 127kB,24
1771461202050,oai-nr-du,231.51,0.91,1.083GiB / 119.7GiB,77.4GB / 77.5GB,0B / 127kB,24
1771461205102,oai-nr-du,235.35,0.91,1.084GiB / 119.7GiB,80GB / 80GB,0B / 127kB,24
1771461208153,oai-nr-du,232.36,0.9,1.082GiB / 119.7GiB,82.5GB / 82.6GB,0B / 127kB,24
1771461211193,oai-nr-du,234.01,0.9,1.083GiB / 119.7GiB,84.3GB / 84.3GB,0B / 127kB,24
1771461213239,oai-nr-du,233.67,0.91,1.084GiB / 119.7GiB,86GB / 86.1GB,0B / 127kB,24
1771461215275,oai-nr-du,229.73,0.91,1.084GiB / 119.7GiB,88.5GB / 88.6GB,0B / 127kB,24
1771461218320,oai-nr-du,224.14,0.9,1.083GiB / 119.7GiB,90.1GB / 90.2GB,0B / 127kB,24
1771461220346,oai-nr-du,228.26,0.91,1.084GiB / 119.7GiB,91.8GB / 91.9GB,0B / 135kB,24
1771461222380,oai-nr-du,224.51,0.91,1.084GiB / 119.7GiB,93.4GB / 93.5GB,0B / 135kB,24
1771461224433,oai-nr-du,250.31,0.91,1.084GiB / 119.7GiB,95.8GB / 96GB,0B / 135kB,24
1771461227484,oai-nr-du,233.11,0.91,1.084GiB / 119.7GiB,98.3GB / 98.4GB,0B / 135kB,24
1771461230526,oai-nr-du,228.06,0.91,1.084GiB / 119.7GiB,99.9GB / 100GB,0B / 135kB,24
1771461232577,oai-nr-du,221.26,0.91,1.084GiB / 119.7GiB,102GB / 102GB,0B / 135kB,24
1771461234615,oai-nr-du,223.56,0.9,1.083GiB / 119.7GiB,104GB / 104GB,0B / 135kB,24
1771461237659,oai-nr-du,219.77,0.9,1.083GiB / 119.7GiB,106GB / 106GB,0B / 135kB,24
1771461239694,oai-nr-du,227.81,0.91,1.083GiB / 119.7GiB,107GB / 107GB,0B / 135kB,24
1771461241740,oai-nr-du,220.08,0.9,1.083GiB / 119.7GiB,110GB / 110GB,0B / 135kB,24
