# start_epoch_ms=1772062021041 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772062021041,oai-nr-du,139.27,0.85,1.015GiB / 119.7GiB,114GB / 113GB,0B / 14.1MB,22
1772062024067,oai-nr-du,150.48,0.85,1.013GiB / 119.7GiB,116GB / 116GB,0B / 14.1MB,22
1772062027075,oai-nr-du,156.73,0.85,1.014GiB / 119.7GiB,119GB / 119GB,0B / 14.1MB,22
1772062030083,oai-nr-du,163.87,0.85,1.012GiB / 119.7GiB,121GB / 121GB,0B / 14.1MB,22
1772062033089,oai-nr-du,162.62,0.85,1.012GiB / 119.7GiB,124GB / 124GB,0B / 14.1MB,22
1772062036097,oai-nr-du,161.67,0.85,1.012GiB / 119.7GiB,126GB / 126GB,0B / 14.1MB,22
1772062039104,oai-nr-du,163.49,0.85,1.014GiB / 119.7GiB,129GB / 129GB,0B / 14.1MB,22
1772062042110,oai-nr-du,164.83,0.85,1.014GiB / 119.7GiB,131GB / 131GB,0B / 14.1MB,22
1772062045119,oai-nr-du,163.1,0.85,1.013GiB / 119.7GiB,134GB / 134GB,0B / 14.1MB,22
1772062048125,oai-nr-du,163.15,0.85,1.013GiB / 119.7GiB,136GB / 136GB,0B / 14.1MB,22
1772062051135,oai-nr-du,164.21,0.85,1.015GiB / 119.7GiB,139GB / 139GB,0B / 14.1MB,22
1772062054142,oai-nr-du,165.29,0.85,1.014GiB / 119.7GiB,141GB / 141GB,0B / 14.1MB,22
1772062057151,oai-nr-du,164.44,0.85,1.015GiB / 119.7GiB,144GB / 144GB,0B / 14.1MB,22
1772062060160,oai-nr-du,161.77,0.85,1.014GiB / 119.7GiB,146GB / 146GB,0B / 14.1MB,22
1772062063168,oai-nr-du,161.52,0.85,1.014GiB / 119.7GiB,149GB / 149GB,0B / 14.1MB,22
1772062066175,oai-nr-du,162.48,0.85,1.015GiB / 119.7GiB,152GB / 152GB,0B / 14.1MB,22
1772062069183,oai-nr-du,161.95,0.85,1.014GiB / 119.7GiB,154GB / 154GB,0B / 14.1MB,22
1772062072189,oai-nr-du,164.88,0.85,1.013GiB / 119.7GiB,157GB / 157GB,0B / 14.1MB,22
1772062075196,oai-nr-du,164.37,0.85,1.014GiB / 119.7GiB,159GB / 159GB,0B / 14.1MB,22
1772062078204,oai-nr-du,164.43,0.85,1.014GiB / 119.7GiB,162GB / 162GB,0B / 14.1MB,22
