# start_epoch_ms=1771460917419 interval_s=0.5
ts_epoch_ms,gpu_index,power_draw_w,power_limit_w,temp_gpu_c
1771460917419,0,11.38,[N/A],47
1771460917950,0,12.91,[N/A],47
1771460918481,0,15.57,[N/A],48
1771460919013,0,17.81,[N/A],48
1771460919540,0,20.61,[N/A],49
1771460920069,0,23.99,[N/A],50
1771460920598,0,27.59,[N/A],50
1771460921125,0,28.78,[N/A],50
1771460921649,0,28.78,[N/A],50
1771460922174,0,28.86,[N/A],51
1771460922701,0,28.86,[N/A],51
1771460923225,0,28.76,[N/A],51
1771460923752,0,28.91,[N/A],51
1771460924278,0,29.11,[N/A],51
1771460924804,0,29.19,[N/A],51
1771460925330,0,29.13,[N/A],51
1771460925855,0,28.97,[N/A],51
1771460926381,0,28.92,[N/A],51
1771460926909,0,28.98,[N/A],51
1771460927434,0,28.99,[N/A],52
1771460927959,0,28.96,[N/A],51
1771460928485,0,28.99,[N/A],52
1771460929012,0,29.03,[N/A],52
1771460929540,0,29.04,[N/A],52
1771460930065,0,29.00,[N/A],52
1771460930589,0,29.01,[N/A],52
1771460931115,0,29.04,[N/A],52
1771460931640,0,29.10,[N/A],52
1771460932166,0,29.11,[N/A],52
1771460932691,0,29.02,[N/A],52
1771460933217,0,29.08,[N/A],52
1771460933740,0,29.10,[N/A],53
1771460934264,0,29.06,[N/A],53
1771460934794,0,29.24,[N/A],53
1771460935320,0,29.36,[N/A],53
1771460935844,0,29.37,[N/A],53
1771460936368,0,29.42,[N/A],53
1771460936895,0,29.35,[N/A],53
1771460937422,0,29.45,[N/A],53
1771460937947,0,29.51,[N/A],53
1771460938470,0,29.54,[N/A],53
1771460938999,0,29.46,[N/A],54
1771460939525,0,29.52,[N/A],54
1771460940050,0,29.58,[N/A],54
1771460940577,0,29.60,[N/A],54
1771460941102,0,29.62,[N/A],54
1771460941626,0,29.62,[N/A],54
1771460942153,0,29.56,[N/A],54
1771460942679,0,29.58,[N/A],54
1771460943204,0,29.60,[N/A],54
1771460943729,0,29.59,[N/A],54
1771460944253,0,29.55,[N/A],54
1771460944779,0,29.37,[N/A],54
1771460945305,0,29.37,[N/A],54
1771460945828,0,29.41,[N/A],54
1771460946359,0,29.38,[N/A],54
1771460946883,0,29.48,[N/A],54
1771460947407,0,29.44,[N/A],54
1771460947934,0,29.57,[N/A],55
1771460948460,0,29.69,[N/A],55
1771460948986,0,29.67,[N/A],55
1771460949513,0,29.58,[N/A],55
1771460950038,0,29.57,[N/A],55
1771460950563,0,29.60,[N/A],55
1771460951088,0,29.53,[N/A],55
1771460951614,0,29.60,[N/A],55
1771460952140,0,29.58,[N/A],55
1771460952665,0,29.45,[N/A],55
1771460953194,0,29.58,[N/A],55
1771460953721,0,29.72,[N/A],55
1771460954248,0,29.71,[N/A],55
1771460954771,0,29.83,[N/A],55
1771460955295,0,29.93,[N/A],55
1771460955821,0,29.80,[N/A],55
1771460956348,0,29.70,[N/A],55
1771460956874,0,29.71,[N/A],55
1771460957398,0,29.73,[N/A],55
1771460957925,0,29.70,[N/A],55
1771460958454,0,29.86,[N/A],56
1771460958982,0,30.12,[N/A],56
1771460959509,0,30.05,[N/A],56
1771460960036,0,30.31,[N/A],56
1771460960560,0,30.43,[N/A],56
1771460961086,0,30.04,[N/A],56
1771460961610,0,29.74,[N/A],56
1771460962134,0,29.71,[N/A],56
1771460962661,0,29.72,[N/A],56
1771460963187,0,29.61,[N/A],56
1771460963713,0,29.67,[N/A],56
1771460964237,0,29.75,[N/A],56
1771460964765,0,29.73,[N/A],56
1771460965289,0,29.73,[N/A],56
1771460965815,0,29.74,[N/A],56
1771460966341,0,29.78,[N/A],56
1771460966870,0,29.75,[N/A],56
1771460967394,0,29.81,[N/A],56
1771460967920,0,29.86,[N/A],56
1771460968444,0,30.10,[N/A],56
1771460968970,0,30.23,[N/A],56
1771460969506,0,30.46,[N/A],57
1771460970032,0,30.33,[N/A],57
1771460970556,0,30.42,[N/A],56
1771460971088,0,30.41,[N/A],56
1771460971614,0,30.04,[N/A],57
1771460972143,0,29.88,[N/A],57
1771460972674,0,29.78,[N/A],57
1771460973200,0,29.90,[N/A],56
1771460973724,0,29.96,[N/A],56
1771460974253,0,30.23,[N/A],57
1771460974779,0,30.40,[N/A],57
1771460975303,0,30.24,[N/A],57
1771460975830,0,30.53,[N/A],57
1771460976359,0,30.67,[N/A],57
1771460976886,0,30.32,[N/A],57
